STATE_CODE_001,ID,RECORD_TYPE_005A,ROUTE_PREFIX_005B,SERVICE_LEVEL_005C,ROUTE_NUMBER_005D,DIRECTION_005E,HIGHWAY_DISTRICT_002,COUNTY_CODE_003,PLACE_CODE_004,FEATURES_DESC_006A,CRITICAL_FACILITY_006B,FACILITY_CARRIED_007,LOCATION_009,MIN_VERT_CLR_010,KILOPOINT_011,BASE_HWY_NETWORK_012,LRS_INV_ROUTE_013A,SUBROUTE_NO_013B,LAT_016,LONG_017,DETOUR_KILOS_019,TOLL_020,MAINTENANCE_021,OWNER_022,FUNCTIONAL_CLASS_026,YEAR_BUILT_027,TRAFFIC_LANES_ON_028A,TRAFFIC_LANES_UND_028B,ADT_029,YEAR_ADT_030,DESIGN_LOAD_031,APPR_WIDTH_MT_032,MEDIAN_CODE_033,DEGREES_SKEW_034,STRUCTURE_FLARED_035,RAILINGS_036A,TRANSITIONS_036B,APPR_RAIL_036C,APPR_RAIL_END_036D,HISTORY_037,NAVIGATION_038,NAV_VERT_CLR_MT_039,NAV_HORR_CLR_MT_040,OPEN_CLOSED_POSTED_041,SERVICE_ON_042A,SERVICE_UND_042B,STRUCTURE_KIND_043A,STRUCTURE_TYPE_043B,APPR_KIND_044A,APPR_TYPE_044B,MAIN_UNIT_SPANS_045,APPR_SPANS_046,HORR_CLR_MT_047,MAX_SPAN_LEN_MT_048,STRUCTURE_LEN_MT_049,LEFT_CURB_MT_050A,RIGHT_CURB_MT_050B,ROADWAY_WIDTH_MT_051,DECK_WIDTH_MT_052,VERT_CLR_OVER_MT_053,VERT_CLR_UND_REF_054A,VERT_CLR_UND_054B,LAT_UND_REF_055A,LAT_UND_MT_055B,LEFT_LAT_UND_MT_056,DECK_COND_058,SUPERSTRUCTURE_COND_059,SUBSTRUCTURE_COND_060,CHANNEL_COND_061,CULVERT_COND_062,OPR_RATING_METH_063,OPERATING_RATING_064,INV_RATING_METH_065,INVENTORY_RATING_066,STRUCTURAL_EVAL_067,DECK_GEOMETRY_EVAL_068,UNDCLRENCE_EVAL_069,POSTING_EVAL_070,WATERWAY_EVAL_071,APPR_ROAD_EVAL_072,WORK_PROPOSED_075A,WORK_DONE_BY_075B,IMP_LEN_MT_076,DATE_OF_INSPECT_090,INSPECT_FREQ_MONTHS_091,FRACTURE_092A,UNDWATER_LOOK_SEE_092B,SPEC_INSPECT_092C,FRACTURE_LAST_DATE_093A,UNDWATER_LAST_DATE_093B,SPEC_LAST_DATE_093C,BRIDGE_IMP_COST_094,ROADWAY_IMP_COST_095,TOTAL_IMP_COST_096,YEAR_OF_IMP_097,OTHER_STATE_CODE_098A,OTHER_STATE_PCNT_098B,OTHR_STATE_STRUC_NO_099,STRAHNET_HIGHWAY_100,PARALLEL_STRUCTURE_101,TRAFFIC_DIRECTION_102,TEMP_STRUCTURE_103,HIGHWAY_SYSTEM_104,FEDERAL_LANDS_105,YEAR_RECONSTRUCTED_106,DECK_STRUCTURE_TYPE_107,SURFACE_TYPE_108A,MEMBRANE_TYPE_108B,DECK_PROTECTION_108C,PERCENT_ADT_TRUCK_109,NATIONAL_NETWORK_110,PIER_PROTECTION_111,BRIDGE_LEN_IND_112,SCOUR_CRITICAL_113,FUTURE_ADT_114,YEAR_OF_FUTURE_ADT_115,MIN_NAV_CLR_MT_116,FED_AGENCY,SUBMITTED_BY,BRIDGE_CONDITION,LOWEST_RATING,DECK_AREA,LONG_017_DD,LAT_016_DD,failure_probability,failure_loss,risk
12,870002,1,2,1,5,0,6,86,45000,'LITTLE RIVER CANAL C-7',,'Biscayne Blvd  SR5','0.13M S OF NE 79 ST',99.99,25.724,0,87030000,0,25504755,80110456,5,3,1,1,14,1928,4,0,34000,2021,5,16.4,2,0,0,1,0,0,0,5,0,0,0,A,5,5,1,1,0,0,3,0,20.2,11.3,26.2,1.8,1.8,16.4,21.3,99.99,N,0,N,0,0,7,7,7,8,N,1,65.4,1,39.3,7,4,N,5,8,8,,,0,922,24,N,Y24,N,,922,,0,0,0,,,0,,0,N,2,,1,0,1996,1,1,0,0,6,0,,Y,8,58990,2043,0,N,12,G,7,558.06,-80.1846,25.84654167,,,
12,870010,1,2,1,1,3,6,86,39950,'MOWRY CANAL C-103',,'SR-5  SB  (870228)','0.11M N OF SW 296 ST',99.99,7.158,0,87020000,0,25293600,80270940,1,3,1,1,14,1966,2,0,14250,2021,A,12.7,0,0,0,1,1,1,1,5,0,0,0,A,1,5,1,1,0,0,3,0,12.7,6.4,19.2,1.5,0,12.7,15.4,99.99,N,0,N,0,0,8,8,7,8,N,3,42.5,3,32.7,7,7,N,5,8,8,38,1,19.2,1021,24,N,Y24,N,,1021,,50,0,50,,,0,,2,L,1,,1,0,2012,1,6,0,0,6,0,,Y,5,24724,2043,0,N,12,G,7,295.68,-80.45261111,25.49333333,,,
12,870011,1,2,1,1,3,6,86,47712,'PRINCETON CANAL C-102',,'SR-5  SB','0.3M N OF SW 244 ST',99.99,14.109,0,87020000,0,25322576,80242580,0,3,1,1,14,1966,2,0,19000,2021,5,11.9,0,0,0,1,1,1,1,5,0,0,0,A,1,5,1,1,0,0,3,0,12.3,7,21,2,0,12.3,15.2,99.99,N,0,N,0,0,7,7,7,8,N,1,65.7,1,39.4,7,7,N,5,8,8,38,1,2,621,24,N,Y24,N,,621,,77,0,77,,,0,,2,L,1,,1,0,2002,1,6,0,0,6,0,,Y,5,32965,2043,0,N,12,G,7,319.2,-80.40716667,25.54048889,,,
12,870013,1,2,1,0US-1,3,6,86,15968,'BLACK CREEK CANAL C-1',,'SB SR-5 (US-1)','0.36ml N of SW 216 St',99.99,18.551,1,87020000,0,25341400,80223950,1,3,1,1,14,1962,2,0,19000,2021,5,12.1,0,0,0,1,1,1,0,5,0,0,0,A,5,5,5,1,0,0,3,0,11.6,11,32.9,2.6,0,11.6,15.4,99.99,N,0,N,0,0,7,7,7,7,N,1,51.5,1,31.3,7,7,N,5,7,8,35,1,0,122,24,N,Y24,N,,122,,501,0,501,,,0,,2,L,1,,1,0,2005,2,6,0,0,6,1,,Y,5,32965,2043,0,N,12,G,7,506.66,-80.37763889,25.57055556,,,
12,870014,1,2,1,0US-1,3,6,86,15975,'CANAL C-1-N Belle Aire',,'SB SR-5 (US-1)','0.5ml S of SW 186 St',99.99,21.716,1,87020000,0,25353202,80212654,1,3,1,1,14,1963,3,0,24500,2021,5,15,0,0,0,1,1,1,1,5,0,0,0,A,5,5,1,1,0,0,3,0,15,6.7,20.1,1.3,0.6,15,15.6,99.99,N,0,N,0,0,7,7,7,7,N,1,70.7,1,42.5,7,6,N,5,7,8,38,1,20.1,122,24,N,Y24,N,,122,,77,0,77,,,0,,2,L,1,,1,0,1970,1,6,0,0,6,1,,Y,5,42508,2043,0,N,12,G,7,313.56,-80.35737222,25.59222778,,,
12,870015,1,2,1,1,3,6,86,15975,'CUTLER DRAIN-CANAL C-100',,'SB SR5 US-1','N OF SW 158 ST',99.99,25.553,0,87020000,0,25372581,80203664,1,3,1,1,14,1964,3,0,30000,2021,5,12.8,0,0,0,1,1,1,1,5,0,0,0,A,5,5,5,1,0,0,3,0,12.8,9.1,27.4,1,0,12.8,15.2,99.99,N,0,N,0,0,7,7,7,7,N,1,73.4,1,44,7,4,N,5,8,8,38,1,20.1,122,24,N,Y24,N,,122,,87,0,77,,,0,,2,L,1,,1,0,1970,2,6,0,0,6,1,,Y,5,52050,2043,0,N,12,G,7,416.48,-80.34351111,25.62383611,,,
12,870016,1,2,1,1,3,6,86,15975,'CANAL C-100-C',,'SR-5 SB (870233)','SW 139 St',99.99,27.658,0,87020000,0,25382871,80200746,0,3,1,1,14,1965,3,0,30000,2021,5,13.1,0,0,0,1,0,1,1,5,0,0,0,A,1,5,1,1,0,0,3,0,12.9,6.4,19.2,1.3,0,12.9,15.2,99.99,N,0,N,0,0,8,8,7,7,N,1,66.4,1,39.6,7,4,N,5,7,8,,,0,1021,24,N,Y24,N,,1021,,0,0,0,,,0,,2,L,1,,1,0,1970,1,6,0,0,6,0,,Y,5,52050,2043,0,N,12,G,7,291.84,-80.33540556,25.64130833,,,
12,870017,1,2,1,1,3,6,86,39950,'MOWRY CANAL C-103-N',,'SR-5  SB  (870240)','S OF SW 272  ST',99.99,10.557,0,87020000,0,25305809,80254784,1,3,1,1,14,1967,3,0,19500,2021,A,12.6,0,0,0,1,1,1,1,5,0,0,0,A,1,5,5,1,0,0,3,0,12.6,8.5,20.7,1.8,0,12.6,15.4,99.99,N,0,N,0,0,8,8,8,8,N,3,42.8,3,34.9,8,4,N,5,8,8,38,1,6.3,621,24,N,Y24,N,,621,,50,0,50,,,0,,2,L,1,,1,0,2011,2,6,0,0,4,0,,Y,5,33832,2043,0,N,12,G,8,318.78,-80.42995556,25.51613611,,,
12,870018,1,2,1,5,3,6,86,36100,'SNAPPER CREEK CANAL C-2',,'S/B S.R. 5','1.27M N OF SW 88 ST',99.99,1.793,0,87030000,0,25413025,80181803,1,3,1,1,14,1954,3,0,20250,2021,5,12.5,0,0,0,1,1,1,1,5,0,0,0,A,5,5,1,4,0,0,4,0,12.9,10.1,40.2,1.2,0.6,12.3,15.5,99.99,N,0,N,0,0,8,7,7,7,N,1,46.4,1,33.6,7,4,N,5,7,8,,,0,122,24,N,Y24,N,,122,,0,0,0,,,0,,0,L,1,,1,0,1975,1,6,0,0,3,0,1,Y,5,35134,2043,0,N,12,G,7,623.1,-80.30500833,25.69173611,,,
12,870019,1,2,1,1,0,6,86,14250,'CORAL GABLES CANAL',,'COMP          SR-5','W OF SW 42 AVE',99.99,7.009,0,87030000,0,25432318,80155884,3,3,1,1,14,1942,6,0,73000,2021,5,28,2,12,0,1,1,1,1,5,0,0,0,A,1,5,3,2,0,0,1,0,24.9,16.7,27.6,1.6,1.5,24.9,28.7,99.99,N,2.13,N,0,0,7,7,7,8,N,1,56.9,1,34,7,5,N,5,8,8,38,1,27.1,1122,24,N,Y24,N,,1122,,147,0,147,,,0,,0,N,2,,1,0,1957,1,6,0,0,5,0,,Y,5,126655,2043,0,N,12,G,7,792.12,-80.26634444,25.72310556,,,
