ID,STANAME,ST,HUC,CLASS,FLOW,STAGE,TIME,TIME_UTC,URL,DATUM,COUNT,PERCENTILE,FLOODSTAGE,Longitude,Latitude
2228500 ,"NORTH PRONG ST. MARYS RIVER AT MONIAC, GA",fl,3070204,5,17.6,5.28,9/23/23 6:45,9/23/23 10:45,https://waterdata.usgs.gov/monitoring-location/02228500,NAD83,78,28.97,0,-82.2303954,30.51773125
2231000 ,"ST. MARYS RIVER NEAR MACCLENNY, FL",fl,3070204,4,121,3.03,9/23/23 9:45,9/23/23 13:45,https://waterdata.usgs.gov/monitoring-location/02231000,NAD83,96,22.67,0,-82.0815013,30.35884726
2231284 ,"THOMAS CREEK AT SH 115 NR CALLAHAN, FLA.",fl,3070205,0,0,11.01,9/23/23 8:00,9/23/23 13:00,https://waterdata.usgs.gov/monitoring-location/02231284,NAD83,0,0,0,-81.7652778,30.51888889
2231291 ,"NASSAU RIVER NEAR TISONIA, FL",fl,3070205,0,20300,11.01,9/23/23 9:30,9/23/23 13:30,https://waterdata.usgs.gov/monitoring-location/02231291,NAD83,4,80,0,-81.5898179,30.5507931
2231322 ,"S-253 WEIR NEAR FORT DRUM, FL",fl,3080101,0,0,23.09,9/23/23 9:30,9/23/23 13:15,https://waterdata.usgs.gov/monitoring-location/02231322,NAD83,6,19.64,0,-80.6781444,27.59294167
2231342 ,"FT DRUM CREEK AT SUNSHINE ST PKY NEAR FT DRUM, FL",fl,3080101,6,167,36.39,9/23/23 9:45,9/23/23 13:45,https://waterdata.usgs.gov/monitoring-location/02231342,NAD83,46,80.87,0,-80.7961709,27.5686473
2231396 ,"BLUE CYPRESS CREEK NEAR FELLSMERE, FL",fl,3080101,0,293,27.52,9/23/23 9:45,9/23/23 13:45,https://waterdata.usgs.gov/monitoring-location/02231396,NAD83,27,64.7,0,-80.80505949,27.72808533
2231600 ,"JANE GREEN CREEK NEAR DEER PARK, FL",fl,3080101,1,7.98,3.09,9/23/23 9:45,9/23/23 13:45,https://waterdata.usgs.gov/monitoring-location/02231600,NAD83,69,1.43,0,-80.8881155,28.074462
2232000 ,"ST. JOHNS RIVER NEAR MELBOURNE, FL",fl,3080101,5,549,3.61,9/23/23 9:30,9/23/23 13:30,https://waterdata.usgs.gov/monitoring-location/02232000,NAD83,83,29.3,0,-80.752001,28.08473879
2232155 ,"PENNYWASH CREEK NEAR DEER PARK, FL",fl,3080101,0,13.7,18.89,9/23/23 9:00,9/23/23 13:00,https://waterdata.usgs.gov/monitoring-location/02232155,NAD83,28,50.55,0,-80.8953373,28.18195808
2232200 ,"WOLF CREEK NEAR DEER PARK, FL",fl,3080101,5,52,4.96,9/23/23 9:45,9/23/23 13:45,https://waterdata.usgs.gov/monitoring-location/02232200,NAD83,67,65.77,0,-80.91089309,28.2130681
2232400 ,"ST. JOHNS RIVER NEAR COCOA, FL",fl,3080101,5,940,12.2,9/23/23 9:15,9/23/23 13:15,https://waterdata.usgs.gov/monitoring-location/02232400,NAD83,69,31.78,0,-80.8725578,28.36972837
2232415 ,"TAYLOR CREEK NEAR COCOA, FL",fl,3080101,0,0.55,16.95,9/23/23 9:15,9/23/23 13:15,https://waterdata.usgs.gov/monitoring-location/02232415,NAD83,11,22.5,0,-80.9283928,28.3525071
2232500 ,"ST. JOHNS RIVER NEAR CHRISTMAS, FL",fl,3080101,5,1310,5.9,9/23/23 9:30,9/23/23 13:30,https://waterdata.usgs.gov/monitoring-location/02232500,NAD83,89,31.76,0,-80.943392,28.54305529
2233475 ,"LT ECONLOCKHATCHEE R AT STATE HWY434 NR OVIEDO, FL",fl,3080101,0,82.9,28.67,9/23/23 9:00,9/23/23 13:00,https://waterdata.usgs.gov/monitoring-location/02233475,NAD83,26,13.17,0,-81.20784299,28.6199987
2233484 ,"ECONLOCKHATCHEE RIVER NEAR OVIEDO, FL",fl,3080101,0,237,13.54,9/23/23 9:30,9/23/23 13:30,https://waterdata.usgs.gov/monitoring-location/02233484,NAD83,21,25.29,0,-81.169786,28.65555285
2233500 ,"ECONLOCKHATCHEE RIVER NEAR CHULUOTA, FL",fl,3080101,5,296,4.04,9/23/23 9:45,9/23/23 13:30,https://waterdata.usgs.gov/monitoring-location/02233500,NAD83,86,38.27,0,-81.1141667,28.67777778
