AADT,YEAR_,ID,CLASSD,SECTION_,COMM,ACTIVE,SITETYPE,DISTRICT,COUNTYDOT,COUNTYNM,MNG_DIST,KFCTR,DFCTR,TFCTR,LOCATION,EPSG4326x,EPSG4326y
40000,2022,871211,Yes,87047000,"SR 973/GALLOWAY RD, 200' N NW 8 ST",Y,Portable,6,87,Miami-Dade,6,9,56.5,5.9,9.125,-80.33660177,25.77792025
36500,2022,875065,Yes,87030000,"SR 5/US-1, 120' N NE 71 ST",Y,Portable,6,87,Miami-Dade,6,9,54.7,5.3,15.57,-80.18432695,25.84018293
30000,2022,870607,Yes,87240000,"SR 9/SERVICE RD, 200' NE RAMP FR PARK & RIDE",Y,Portable,6,87,Miami-Dade,6,9,54.7,9.5,13.339,-80.21667918,25.92102411
16500,2022,876092,Yes,87140059,"RAMP 87140059 FROM SB I-95 TO NB US-441, 100' S OF RAMP 87270210",Y,Portable,6,87,Miami-Dade,6,8,99.9,9.2,0.019,-80.21152835,25.92142247
18000,2022,870105,No,87080001,"SR 934/NE 82 ST/ONE-WAY PAIR WB, 200' W NE 3 PL",Y,Portable,6,87,Miami-Dade,6,9,99.9,6.8,1.136,-80.19022684,25.84991734
5800,2022,878478,No,87000315,"NW 191 ST, 200 FT E OF NW 52 AVE (2011 OFF SYSTEM CYCLE)",Y,Portable,6,87,Miami-Dade,6,9,56.5,5.5,0.536,-80.28556711,25.94677158
33500,2022,871205,Yes,87027000,"SR 969/MILAM DAIRY RD, 50' N NW 47 ST",Y,Portable,6,87,Miami-Dade,6,9,54.7,9.5,3.739,-80.31339745,25.81646945
20600,2022,875012,No,87085000,"SR 933/NW 12 AV, 200' N FLAGLER ST/SR 968",Y,Portable,6,87,Miami-Dade,6,9,56.5,4.4,1.58,-80.21466576,25.77420104
43000,2022,870558,No,87281000,"SR953/LEJEUNE RD,200' S OF BRIDGE OVER MIAMI CANAL",Y,Portable,6,87,Miami-Dade,6,9,54.7,6.7,5.722,-80.26430286,25.80938055
10000,2022,876079,Yes,87075604,"RAMP 87075604 FROM NB I-75 TO EB MIAMI GARDENS, 500' N OF I-75",Y,Portable,6,87,Miami-Dade,6,8,99.9,4,0.095,-80.35011336,25.93802562
23500,2022,870377,Yes,87120000,"SR 90/SW 8 ST, 200' E KROME AV/SR 997",Y,Portable,6,87,Miami-Dade,6,9.5,56.5,8.8,0.038,-80.4807353,25.76089696
13000,2022,876035,Yes,87005134,"RAMP 87005134 FROM SB SR874 TO NB SW 107 AVE, 400' S OF SR 874",Y,Portable,6,87,Miami-Dade,6,8,99.9,2.8,0.076,-80.36340146,25.67434916
50000,2022,871142,Yes,87053000,"SR 968/FLAGLER ST, 200' E NW 87 AV",Y,Portable,6,87,Miami-Dade,6,9,56.5,4.4,0.038,-80.33577547,25.76955155
30000,2022,870039,Yes,87027000,"SR 969/MILAM DAIRY RD, 110' N NW 68 ST",Y,Portable,6,87,Miami-Dade,6,9,54.7,12.1,5.08,-80.31391166,25.83598376
9800,2022,878494,No,87000342,"NW 66 AVE, 200 FT N OF SR-948/NW 36 ST (2011 OFF SYSTEM CYCLE)",Y,Portable,6,87,Miami-Dade,6,9,56.5,5,0.038,-80.30325544,25.80773022
12000,2022,876099,Yes,87140067,"RAMP 87140067 FROM SB I-95 TO GOLDEN GLADES INTERC, 300' S OF I-95",Y,Portable,6,87,Miami-Dade,6,8,99.9,9.8,0.057,-80.20627283,25.92955853
9600,2022,872513,Yes,87061000,"SR886/PORT BLVD.,  100' E OF BRIDGE",Y,Portable,6,87,Miami-Dade,6,9,56.5,8.5,0.701,-80.17840477,25.77782846
35500,2022,870146,Yes,87026000,"SR 860/MIAMI GARDEN DR, 200' E OF NW 14 AV/W OF FL TPK",Y,Portable,6,87,Miami-Dade,6,9,54.7,6.2,4.376,-80.22351912,25.94172847
64000,2022,871050,Yes,87044000,"SR 976/BIRD RD, 80? EAST OF SW 73 CT",Y,Portable,6,87,Miami-Dade,6,9,56.5,6.1,4.524,-80.31371651,25.7330389
92500,2022,872050,No,87003000,"SR 112/AIRPORT EXPWY, 200' W NW 17 AV",Y,Portable,6,87,Miami-Dade,6,8,56.7,3.4,3.445,-80.22487177,25.81223071
34500,2022,875125,Yes,87240000,"SR 9/SW/NW 27 AV, 100' S SW 8 ST/SR 90",Y,Portable,6,87,Miami-Dade,6,9,56.5,4.8,1.46,-80.23861565,25.76109885
31000,2022,870682,Yes,87150000,"SR 997/KROME AV,850' N SW 100 STREET",Y,Portable,6,87,Miami-Dade,6,9.5,56.5,14,16.284,-80.48125947,25.67271564
8800,2022,876043,Yes,87005511,"RAMP87005511 FRM SW 40STSB ON RAMP87260135 TO SB SR874,800'S OF RAMP87260135",Y,Portable,6,87,Miami-Dade,6,8,99.9,19.1,0.152,-80.31940493,25.72332767
43500,2022,871175,No,87281000,SR-953/NW 42 AVE/LEJEUNE RD. 500' N NW 7 ST.,Y,Portable,6,87,Miami-Dade,6,9,54.7,6.7,3.7,-80.26398047,25.78012525
21000,2022,870041,Yes,87047000,"SR 973/GALLOWAY RD, 130' S SW 45 ST",Y,Portable,6,87,Miami-Dade,6,9,56.5,3,5.601,-80.3354056,25.72681542
4600,2022,878491,No,87000334,"NW 87 ST, 200 FT W OFNW 24 AVE (2011 OFF SYSTEM CYCLE)",Y,Portable,6,87,Miami-Dade,6,9,56.5,4.1,0.728,-80.23851116,25.85354124
9500,2022,876153,Yes,87200113,"RAMP 87200113 FROM NB NW 12 AVE TO EB SR836, 150' N OF NW 12 AVE",Y,Portable,6,87,Miami-Dade,6,8,99.9,7.7,0.028,-80.21434759,25.7852276
27000,2022,872546,No,87017000,"SR 913/KEY BYSCAYNE ENT., 520 FT E BRICKELL AV",Y,Portable,6,87,Miami-Dade,6,9,56.5,3.2,0.32,-80.20313253,25.74928163
33500,2022,870417,No,87240000,"SR 9/NW 27 AV, 200' N SR 112/AIRPORT EXPWY",Y,Portable,6,87,Miami-Dade,6,9,54.7,6.9,5.036,-80.24031702,25.81292027
15900,2022,871077,Yes,87047000,"SR 973/GALLOWAY RD, 200' N SW 132 ST",Y,Portable,6,87,Miami-Dade,6,9,56.5,2.8,0.146,-80.33426795,25.64815054
59500,2022,872113,No,87260000,"SR 826/PALMETTO EXPWY, 100' W FLA TPK ENT",Y,Portable,6,87,Miami-Dade,6,8,56.7,5.4,24.217,-80.21067425,25.9297198
10000,2022,875091,No,87120001,"SR 90/US-41/SW 7 ST/ONE-WAY WB, 200' W SR 5/US-1",Y,Portable,6,87,Miami-Dade,6,9,99.9,11.5,0.04,-80.19109034,25.76720478
4000,2022,876126,No,87200285,"RAMP 87200285 FROM WB SR836 TO NB NW 72 AVE, 1000' W OF SR 836",Y,Portable,6,87,Miami-Dade,6,8,99.9,7.9,0.109,-80.31187471,25.78128788
150000,2022,872503,No,87075000,"SR 93/I-75, 200' N FLA TPK/HEFT/SR 821",Y,Portable,6,87,Miami-Dade,6,9,53.5,6.4,4.988,-80.35106597,25.9497913
2600,2022,870151,Yes,87160000,"SR 9336/INGRAHAM HWY, 300' E EVERGLADES PARK ENT",Y,Portable,6,87,Miami-Dade,6,9.5,56.5,11.8,1.036,-80.55915884,25.40359809
20300,2022,871219,Yes,87052000,"SR 924/GRATIGNY DR, 200' W NW 1 AV",Y,Portable,6,87,Miami-Dade,6,9,54.7,3.8,2.625,-80.20086458,25.8841718
26000,2022,875005,No,87140000,"SR 7/US-441/NW 7 AV, 200' S OF NW 21 ST.",Y,Portable,6,87,Miami-Dade,6,9,54.7,4.8,2.146,-80.20706283,25.79657268
43500,2022,870559,No,87019000,"SR 817/NW 27 AV, 100' N SR 826/NW 167 ST",Y,Portable,6,87,Miami-Dade,6,9,54.7,4,1.812,-80.24458526,25.92746478
4600,2022,876052,Yes,87021004,"RAMP 87021004 FROM SB SW 87 AVE TO WB SR878, 500' W OF SW 87 AVE",Y,Portable,6,87,Miami-Dade,6,8,99.9,18.8,0.095,-80.3355502,25.6959105
14500,2022,870098,Yes,87053001,"SR 968/EB SW 1 ST, 200' W SW 8 AV",Y,Portable,6,87,Miami-Dade,6,9,99.9,5.2,1.504,-80.21106619,25.77263192
32000,2022,872560,No,87066000,"SR 922/ NW 125 ST, 400' W OF NE 6TH AVE",Y,Portable,6,87,Miami-Dade,6,9,54.7,11.8,1.45,-80.18754621,25.89021724
55500,2022,870268,Yes,87030000,"SR 5/US-1, 200' S MIAMI-DADE/BROWARD CO LINE",Y,Portable,6,87,Miami-Dade,6,9,54.7,3.6,25.35,-80.14234818,25.97382916
4700,2022,876036,Yes,87005035,"RAMP 87005035 FROM NB SR874 TO EB KILLIAN PKWY, 800' N OF SR 874",Y,Portable,6,87,Miami-Dade,6,8,99.9,5.7,0.152,-80.36549138,25.6699496
43500,2022,871141,No,87053000,"SR 968/FLAGLER ST, 400' E OF SW/NW 79TH AVE",Y,Portable,6,87,Miami-Dade,6,9,56.5,5.4,0.81,-80.32337337,25.76974774
9100,2022,870051,No,87240101,SR 9/ 200' S OF RAMP 87240124,Y,Portable,6,87,Miami-Dade,6,9,99.9,6.9,0.038,-80.24296841,25.90409218
14100,2022,878492,No,87000335,"SHORELAND BLVD/NE 96, 200 FT E OF NE 5 AVE (2011 OFF SYSTEM CYCLE)",Y,Portable,6,87,Miami-Dade,6,9,56.5,2.3,0.673,-80.18672929,25.86368263
13000,2022,876100,Yes,87140348,"RAMP 87140348 FROM SB US-441 TO SB I-95, 150' S OF US-441",Y,Portable,6,87,Miami-Dade,6,8,99.9,2.6,0.028,-80.2056884,25.92942598
249000,2022,872525,Yes,87260000,"SR 826/PALMETTO EXPWY, 150' N OFF RAMP NW 36 STREET",Y,Portable,6,87,Miami-Dade,6,9,56.7,5.6,9.077,-80.3211384,25.80728058
45500,2022,870118,Yes,87120000,"SR 90/US-41/SW 8 ST, 200' E RED RD/SW 57 AV",Y,Portable,6,87,Miami-Dade,6,9,56.5,2.1,12.133,-80.28670477,25.76361202
37000,2022,871070,Yes,87055000,"SR 986/SUNSET DR, 200' WEST OF SR 985/SW 113 PL",Y,Portable,6,87,Miami-Dade,6,9,56.5,4.7,1.319,-80.37738186,25.70064102
24500,2022,878481,No,87000320,"W 60 ST/NW 114 ST, 200 FT E OF W 18 AVE/NW 74 AVE (2011 OFF SYSTEM CYCLE)",Y,Portable,6,87,Miami-Dade,6,9,56.5,11,0.263,-80.31875991,25.87703216
15500,2022,872238,No,87201000,SR 836 EXT EB 400' E OF BRIDGE NO. 871002 OVER NW 127 AVE,Y,Portable,6,87,Miami-Dade,6,9,99.9,3.8,1.586,-80.39948294,25.78352226
22500,2022,875095,Yes,87120000,"SR 90/US-41/SW 8 ST/ONE-WAY EB, 200' W OF SW 7 AV",Y,Portable,6,87,Miami-Dade,6,9,99.9,3.1,17.267,-80.20436226,25.76608621
250000,2022,870573,Yes,87260000,"SR 826/PALMETTO EXPWY, 850' S SOUTH RIVER DRIVE",Y,Portable,6,87,Miami-Dade,6,8,56.7,8.7,12.087,-80.32237268,25.85091023
3900,2022,876053,Yes,87021005,"RAMP 87021005 FROM EB SR878 TO SB SW 87 AVE, 500' E OF SR 878",Y,Portable,6,87,Miami-Dade,6,8,99.9,4.1,0.095,-80.33509725,25.69534599
